Corriente (A),Diámetro (mm),Resistencia Cobre (Ohm),Pérdidas Cobre (W),Resistencia Aluminio (Ohm),Pérdidas Aluminio (W),Resistencia Oro (Ohm),Pérdidas Oro (W)
50,10.0,0.21899720169444797,547.49300423612,0.35396059343637526,884.9014835909381,0.2928450952890874,732.1127382227186
50,10.404040404040405,0.20231799168699066,505.7949792174767,0.3270023354010663,817.5058385026658,0.2705415005116736,676.3537512791839
50,10.808080808080808,0.1874741526602572,468.68538165064297,0.3030105490671599,757.5263726678998,0.25069218088290207,626.7304522072552
50,11.212121212121211,0.1742059551828005,435.51488795700124,0.2815654391908055,703.9135979770138,0.23294982379095416,582.3745594773854
50,11.616161616161616,0.1622980396073561,405.7450990183902,0.262318924481657,655.7973112041425,0.21702644831216222,542.5661207804055
50,12.02020202020202,0.1515706216938976,378.926554234744,0.2449804234354857,612.4510585887143,0.20268164528835148,506.7041132208787
50,12.424242424242424,0.1418726666539285,354.6816666348213,0.22930582168483796,573.2645542120949,0.18971344959536954,474.28362398842387
50,12.828282828282827,0.13307654372913913,332.6913593228478,0.21508883230639933,537.7220807659983,0.17795119219594188,444.8779804898547
50,13.232323232323232,0.12507380536141743,312.6845134035436,0.2021541737818259,505.38543445456475,0.1672498560065466,418.12464001636647
50,13.636363636363637,0.11777182846679202,294.42957116698005,0.19035214135911735,475.8803533977934,0.15748558457768702,393.71396144421755
50,14.04040404040404,0.11109112229218386,277.72780573045964,0.1795542557978321,448.88563949458023,0.14855208213489704,371.3802053372426
50,14.444444444444445,0.10496315584171768,262.4078896042942,0.1696497518837065,424.1243797092663,0.14035770839299458,350.89427098248643
50,14.84848484848485,0.09932859335495786,248.32148338739466,0.16054272646905982,401.35681617264953,0.1328231190211646,332.0577975529115
50,15.252525252525254,0.09413585254187466,235.33963135468665,0.15214980817814627,380.3745204453657,0.12587933770134405,314.6983442533601
50,15.656565656565657,0.08933991982548532,223.3497995637133,0.14439824250863328,360.9956062715832,0.11946617185966062,298.6654296491515
50,16.06060606060606,0.08490137153622423,212.2534288405606,0.1372243098085485,343.06077452137123,0.1135309037984394,283.8272594960985
50,16.464646464646467,0.08078556113543167,201.96390283857917,0.13057201160261633,326.43002900654085,0.1080272038438912,270.068009609728
50,16.86868686868687,0.07696194104511758,192.40485261279395,0.12439197447989937,310.9799361997484,0.10291422349056423,257.28555872641056
50,17.272727272727273,0.07340349419675403,183.50873549188506,0.11864053131800945,296.6013282950236,0.09815583526310133,245.3895881577533
50,17.676767676767675,0.07008625547125827,175.21563867814567,0.11327894779656862,283.19736949142157,0.09371999278133375,234.29998195333437
50,18.08080808080808,0.06698890714419914,167.47226786049785,0.10827276852376376,270.6819213094094,0.08957818978584771,223.94547446461928
50,18.484848484848484,0.06409243554024557,160.23108885061393,0.10359126209411787,258.97815523529465,0.08570500101311909,214.26250253279773
50,18.88888888888889,0.061379838537198216,153.44959634299553,0.09920694833337854,248.01737083344634,0.08207769106718367,205.19422766795918
50,19.29292929292929,0.058835875491551344,147.08968872887837,0.09509519410843766,237.73798527109415,0.07867588001777216,196.6897000444304
50,19.6969696969697,0.056446852697101486,141.1171317427537,0.09123386656857102,228.08466642142756,0.07548125651356595,188.70314128391487
50,20.1010101010101,0.05420043872142838,135.50109680357096,0.08760303467765751,219.00758669414378,0.07247733084842167,181.19332712105418
50,20.505050505050505,0.05208550495783165,130.21376239457913,0.08418471150161164,210.4617787540291,0.06964922174593768,174.12305436484422
50,20.909090909090914,0.05009198753313458,125.22996883283646,0.08096263101285707,202.40657753214268,0.06698347170128462,167.45867925321153
50,21.31313131313131,0.04821076736387962,120.52691840969905,0.07792205422766592,194.8051355691648,0.06446788659123438,161.16971647808595
50,21.71717171717172,0.04643356568539284,116.0839142134821,0.07504960035197217,187.6240008799304,0.06209139597465323,155.22848993663305
50,22.12121212121212,0.04475285281389638,111.88213203474095,0.07233309931548369,180.83274828870924,0.05984393108834982,149.60982772087453
50,22.525252525252526,0.043161768260115516,107.90442065028878,0.06976146265297742,174.40365663244356,0.0577163180222475,144.29079505561876
50,22.92929292929293,0.041654050608536636,104.13512652134159,0.06732457016961155,168.31142542402887,0.055700183953275736,139.25045988318934
50,23.333333333333332,0.040223975821429225,100.55993955357306,0.06501317022300772,162.5329255575193,0.05378787464493444,134.4696866123361
50,23.737373737373737,0.03886630283037184,97.16575707592959,0.0628187917839731,157.04697945993274,0.0519723816917763,129.93095422944074
50,24.141414141414145,0.03757622544786128,93.9405636196532,0.06073366671224092,151.8341667806023,0.050247278215163345,125.61819553790836
50,24.545454545454543,0.03634932977370125,90.87332443425312,0.05875066091330784,146.8766522832696,0.048606661906693535,121.51665476673384
50,24.94949494949495,0.035181556390160205,87.95389097540051,0.056863213235258954,142.1580330881474,0.04704510447521424,117.6127611880356
50,25.353535353535353,0.0340691667403261,85.17291685081524,0.05506528112680614,137.66320281701536,0.04555760668764537,113.89401671911342
50,25.757575757575758,0.03300871316889327,82.52178292223317,0.05335129221483913,133.3782305370978,0.044139558307241006,110.34889576810251
50,26.161616161616163,0.031997012176432735,79.99253044108184,0.05171610107586221,129.29025268965555,0.04278670232895075,106.96675582237688
50,26.565656565656564,0.03103112049917282,77.57780124793204,0.05015495057424445,125.38737643561112,0.04149510299307994,103.73775748269985
50,26.96969696969697,0.03010831367822924,75.2707841955731,0.04866343722411471,121.65859306028678,0.04026111712786468,100.65279281966171
50,27.373737373737377,0.029226066826531283,73.0651670663282,0.04723748010334708,118.0937002583677,0.03908136843082672,97.70342107706679
50,27.777777777777775,0.028382037339600458,70.95509334900115,0.045873292909354234,114.68323227338558,0.037952724349465734,94.88181087366434
50,28.181818181818183,0.027574049328853482,68.9351233221337,0.04456735879896087,111.41839699740218,0.03687227526532734,92.18068816331835
50,28.58585858585859,0.02680007958405379,67.00019896013447,0.04331640769980787,108.29101924951968,0.035837315722862625,89.59328930715657
50,28.98989898989899,0.026058244895619524,65.14561223904882,0.04211739581966412,105.29348954916031,0.034845327476700536,87.11331869175135
50,29.393939393939394,0.02534679058829353,63.366976470733825,0.04096748711363722,102.41871778409305,0.033893964158764604,84.73491039691152
50,29.797979797979796,0.024664080135676933,61.66020033919233,0.03986403649836156,99.6600912459039,0.032981037390730786,82.45259347682696
